date,close,volume,open,high,low
11/19/2025,487.12,23245310,490.10,495.1872,482.83
11/18/2025,493.79,33815110,495.365,502.98,486.78
11/17/2025,507.49,19092750,508.45,512.12,504.91
11/14/2025,510.18,28505750,498.23,511.60,497.44
11/13/2025,503.29,25273110,510.31,513.50,501.29
11/12/2025,511.14,26574850,509.355,511.67,499.1201
11/11/2025,508.68,17980020,504.80,509.60,502.3488
11/10/2025,506.00,26101480,500.035,506.85,498.80
11/07/2025,496.82,24019760,496.945,499.377,493.25
11/06/2025,497.10,27406500,505.66,505.70,495.81
11/05/2025,507.16,23024340,513.30,514.83,506.575
11/04/2025,514.33,20958660,511.76,515.55,507.84
11/03/2025,517.03,22374740,519.805,524.96,514.59
10/31/2025,517.81,34006420,528.875,529.32,515.10
10/30/2025,525.76,41023090,530.48,534.97,522.12
10/29/2025,541.55,36023000,544.94,546.27,536.7287
10/28/2025,542.07,29986680,550.00,553.72,540.77
10/27/2025,531.52,18734720,531.78,534.58,529.01
10/24/2025,523.61,15532360,522.79,525.345,520.71
10/23/2025,520.56,14023530,522.46,523.95,518.61
10/22/2025,520.54,18962690,521.15,525.23,517.71
10/21/2025,517.66,15586200,517.50,518.69,513.04
10/20/2025,516.79,14665620,514.61,518.70,513.43
10/17/2025,513.58,19867770,509.04,515.48,507.31
10/16/2025,511.61,15559570,512.58,516.85,508.13
10/15/2025,513.43,14694650,514.955,517.19,510.00
10/14/2025,513.57,14684300,510.225,515.282,506.00
10/13/2025,514.05,14284240,516.41,516.41,511.68
10/10/2025,510.96,24133840,519.64,523.58,509.63
10/09/2025,522.40,18343600,522.335,524.325,517.40
10/08/2025,524.85,13363450,523.28,526.95,523.09
10/07/2025,523.98,14615210,528.285,529.80,521.44
10/06/2025,528.57,21388580,518.61,531.03,518.20
10/03/2025,517.35,15112320,517.10,520.49,515.00
10/02/2025,515.74,21222890,517.64,521.60,510.6791
10/01/2025,519.71,22632340,514.80,520.505,511.69
09/30/2025,517.95,19728230,513.24,518.16,509.66
09/29/2025,514.60,17617780,511.50,516.845,508.88
09/26/2025,511.46,16213130,510.06,513.94,506.62
09/25/2025,507.03,15786470,508.30,510.01,505.04
09/24/2025,510.15,13533710,510.38,512.48,506.92
09/23/2025,509.23,19799580,513.80,514.5899,507.31
09/22/2025,514.45,20009310,515.59,517.74,512.545
09/19/2025,517.93,52474090,510.56,519.30,510.31
09/18/2025,508.45,18913700,511.49,513.07,507.66
09/17/2025,510.02,15816590,510.62,511.29,505.93
09/16/2025,509.04,19711920,516.88,517.23,508.60
09/15/2025,515.36,17143790,508.79,515.47,507.00
09/12/2025,509.90,23624880,506.65,512.55,503.85
09/11/2025,501.01,18881610,502.25,503.17,497.88
09/10/2025,500.37,21611820,502.98,503.2299,496.72
09/09/2025,498.41,14410540,501.43,502.25,497.70
09/08/2025,498.20,16771020,498.105,501.195,495.03
09/05/2025,495.00,31994850,509.07,511.97,492.37
09/04/2025,507.97,15509490,504.30,508.15,503.15
09/03/2025,505.35,16345080,503.79,507.79,502.32
09/02/2025,505.12,18128000,500.465,506.00,496.81
08/29/2025,506.69,20961570,508.66,509.60,504.4915
08/28/2025,509.64,18015590,507.09,511.09,505.50
08/27/2025,506.74,17277890,502.00,507.29,499.90
08/26/2025,502.04,30835710,504.355,504.9778,498.51
08/25/2025,504.26,21638580,506.63,508.19,504.12
08/22/2025,507.23,24324160,504.25,510.73,502.41
08/21/2025,504.24,18443250,503.69,507.63,502.7201
08/20/2025,505.72,27723030,509.865,511.00,504.44
08/19/2025,509.77,21481020,515.00,515.1641,508.55
08/18/2025,517.10,23760580,521.585,522.82,514.02
08/15/2025,520.17,25213270,522.77,526.10,519.08
08/14/2025,522.48,20269070,522.56,525.9499,520.14
08/13/2025,520.58,19619160,532.11,532.70,519.37
08/12/2025,529.24,18688920,523.75,530.98,522.70
08/11/2025,521.77,20194370,522.30,527.59,519.72
08/08/2025,522.04,15531010,522.60,524.66,519.41
08/07/2025,520.84,16079140,526.80,528.09,517.5511
08/06/2025,524.94,21355700,530.90,531.70,524.03
08/05/2025,527.75,19171570,537.18,537.30,527.24
08/04/2025,535.64,25349000,528.27,538.25,528.13
08/01/2025,524.11,28977630,535.00,535.80,520.86
07/31/2025,533.50,51617330,555.225,555.45,531.90
07/30/2025,513.24,26380430,515.17,515.95,509.435
07/29/2025,512.57,16469240,515.53,517.62,511.56
07/28/2025,512.50,14308030,514.08,515.00,510.12
07/25/2025,513.71,19125700,512.465,518.29,510.3592
07/24/2025,510.88,16107000,508.77,513.67,507.30
07/23/2025,505.87,16396590,506.75,506.79,500.70
07/22/2025,505.27,13868640,510.97,511.20,505.27
07/21/2025,510.06,14066810,506.705,512.09,505.55
07/18/2025,510.05,21209670,514.48,514.64,507.43
07/17/2025,511.70,17503130,505.68,513.37,505.62
07/16/2025,505.62,15154370,505.18,506.72,501.89
07/15/2025,505.82,14927200,503.02,508.30,502.79
07/14/2025,503.02,12058850,501.515,503.97,501.03
07/11/2025,503.32,16459510,498.47,505.03,497.795
07/10/2025,501.48,16498740,503.05,504.44,497.75
07/09/2025,503.51,18659540,500.30,506.78,499.74
07/08/2025,496.62,11846590,497.24,498.20,494.11
07/07/2025,497.72,13981610,497.38,498.75,495.225
07/03/2025,498.84,13984830,493.81,500.13,493.44
07/02/2025,491.09,16319640,489.99,493.50,488.70
07/01/2025,492.05,19945380,496.47,498.05,490.98
06/30/2025,497.41,28368990,497.04,500.76,495.33
06/27/2025,495.94,34539240,497.55,499.30,493.03
06/26/2025,497.45,21578850,492.98,498.04,492.81
